kernel_rbf,kernel_poly,kernel_linear,c,gamma,degree,perf-on-seismic,perf-on-ijcnn1,perf-on-colon-cancer,perf-on-car,perf-on-pima,perf-on-cod-rna,perf-on-tic-tac-toe,perf-on-pendigits,perf-on-usps,perf-on-sonar-scale,perf-on-vehicle,perf-on-abalone,perf-on-magic,perf-on-australian,perf-on-kr-vs-k,perf-on-crx,perf-on-monk-2,perf-on-segment,perf-on-breast-cancer,perf-on-german-numer,perf-on-led7digit,perf-on-haberman,perf-on-lymphography,perf-on-winequality-red,perf-on-bands,perf-on-letter,perf-on-wine,perf-on-W8A,perf-on-wisconsin,perf-on-shuttle,perf-on-phoneme,perf-on-spambase,perf-on-diabetes,perf-on-appendicitis,perf-on-ecoli,perf-on-wdbc,perf-on-housevotes,perf-on-titanic,perf-on-A9A,perf-on-twonorm,perf-on-chess,perf-on-splice,perf-on-banana,perf-on-ring,perf-on-spectfheart,perf-on-bupa,perf-on-coil2000,perf-on-saheart,perf-on-yeast,perf-on-automobile
1.0,0.0,0.0,-0.8333333333333334,0.3252574989159953,0.0,0.609002,0.904187,0.692308,0.713873,0.668831,0.937174,0.6875,0.0995907,0.177419,0.547619,0.252941,0.211976,0.837802,0.543478,0.164113,0.557252,0.505747,0.125541,0.583942,0.745,0.38,0.677419,0.433333,0.465625,0.671233,0.0363333,0.416667,0.97102,0.635036,0.983103,0.803885,0.780435,0.62987,0.772727,0.382353,0.578947,0.574468,0.759637,0.757908,0.500676,0.503125,0.497638,0.880189,0.918919,0.740741,0.681159,0.942494,0.602151,0.397306,0.1875
1.0,0.0,0.0,-0.8333333333333334,0.0752574989159953,0.0,0.72724,0.905331,0.692308,0.713873,0.668831,0.962359,0.6875,0.797635,0.177419,0.547619,0.352941,0.20479,0.821767,0.543478,0.164113,0.557252,0.505747,0.891775,0.905109,0.745,0.38,0.677419,0.433333,0.590625,0.671233,0.773,0.416667,0.97102,0.956204,0.974483,0.760407,0.868478,0.62987,0.772727,0.441176,0.95614,0.574468,0.759637,0.757908,0.982432,0.503125,0.497638,0.55,0.971622,0.740741,0.681159,0.942494,0.602151,0.326599,0.1875
1.0,0.0,0.0,-0.8333333333333334,0.4247425010840047,0.0,0.533492,0.903911,0.692308,0.713873,0.668831,0.875662,0.6875,0.0995907,0.177419,0.547619,0.252941,0.207186,0.832282,0.543478,0.164113,0.557252,0.505747,0.121212,0.583942,0.745,0.38,0.677419,0.433333,0.45625,0.671233,0.0363333,0.416667,0.97102,0.635036,0.983908,0.781684,0.63913,0.62987,0.772727,0.382353,0.578947,0.574468,0.759637,0.757908,0.500676,0.503125,0.497638,0.901887,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.8333333333333334,0.1747425010840047,0.0,0.71902,0.906239,0.692308,0.713873,0.668831,0.960351,0.6875,0.491587,0.177419,0.547619,0.252941,0.219162,0.829916,0.543478,0.164113,0.557252,0.505747,0.75974,0.583942,0.745,0.38,0.677419,0.433333,0.596875,0.671233,0.542667,0.416667,0.97102,0.934307,0.981839,0.783534,0.863043,0.62987,0.772727,0.382353,0.675439,0.574468,0.761905,0.757908,0.983108,0.503125,0.497638,0.690566,0.983784,0.740741,0.681159,0.942494,0.602151,0.397306,0.1875
1.0,0.0,0.0,-0.6666666666666666,-1.0,0.0,0.494875,0.902648,0.692308,0.713873,0.668831,0.666757,0.6875,0.0995907,0.306989,0.547619,0.252941,0.155689,0.654837,0.543478,0.164113,0.557252,0.505747,0.121212,0.583942,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.0363333,0.416667,0.969861,0.635036,0.781954,0.708603,0.63587,0.62987,0.772727,0.382353,0.578947,0.574468,0.659864,0.757908,0.500676,0.503125,0.497638,0.55,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.6666666666666666,-0.75,0.0,0.690196,0.902648,0.692308,0.713873,0.668831,0.66946,0.6875,0.203729,0.876344,0.547619,0.252941,0.155689,0.654837,0.543478,0.164113,0.557252,0.505747,0.121212,0.583942,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.0363333,0.416667,0.969861,0.635036,0.781954,0.708603,0.63587,0.62987,0.772727,0.382353,0.578947,0.574468,0.659864,0.829461,0.500676,0.503125,0.497638,0.55,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.6666666666666666,-0.5,0.0,0.6973,0.902648,0.692308,0.713873,0.668831,0.95185,0.6875,0.849477,0.943548,0.547619,0.252941,0.155689,0.674027,0.804348,0.234676,0.557252,0.505747,0.532468,0.956204,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.099,0.416667,0.972025,0.635036,0.823333,0.708603,0.63587,0.62987,0.772727,0.382353,0.578947,0.893617,0.659864,0.837343,0.982432,0.803125,0.862992,0.55,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.6666666666666666,-0.3252574989159953,0.0,0.711458,0.902648,0.692308,0.713873,0.668831,0.959792,0.6875,0.929513,0.826882,0.547619,0.405882,0.155689,0.767087,0.855072,0.270314,0.816794,0.505747,0.854978,0.970803,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.515333,0.416667,0.972488,0.941606,0.905862,0.708603,0.63587,0.62987,0.772727,0.382353,0.657895,0.914894,0.759637,0.83335,0.983784,0.925,0.807874,0.55,0.552027,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.6666666666666666,-0.25,0.0,0.716888,0.902806,0.692308,0.713873,0.668831,0.961227,0.6875,0.947249,0.444624,0.547619,0.488235,0.177246,0.777865,0.855072,0.331789,0.816794,0.597701,0.84632,0.970803,0.745,0.12,0.677419,0.433333,0.45625,0.671233,0.635667,0.805556,0.972798,0.948905,0.915057,0.708603,0.641304,0.62987,0.772727,0.382353,0.868421,0.93617,0.759637,0.819634,0.982432,0.926562,0.497638,0.55,0.752703,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.6666666666666666,-0.0752574989159953,0.0,0.730691,0.90833,0.692308,0.713873,0.668831,0.963114,0.6875,0.979991,0.284946,0.547619,0.617647,0.192814,0.815457,0.818841,0.271383,0.778626,0.793103,0.898268,0.963504,0.745,0.59,0.677419,0.433333,0.6,0.671233,0.781333,0.944444,0.971716,0.970803,0.942759,0.73728,0.83913,0.668831,0.772727,0.382353,0.947368,0.765957,0.759637,0.757908,0.982432,0.503125,0.497638,0.55,0.932432,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.6666666666666666,0.75,0.0,0.495331,0.902648,0.692308,0.713873,0.668831,0.667135,0.6875,0.0995907,0.177419,0.547619,0.252941,0.158084,0.654837,0.543478,0.164113,0.557252,0.505747,0.121212,0.583942,0.745,0.54,0.677419,0.433333,0.45625,0.671233,0.0363333,0.416667,0.971716,0.635036,0.992644,0.708603,0.63587,0.62987,0.772727,0.382353,0.578947,0.574468,0.759637,0.757908,0.500676,0.503125,0.497638,0.906604,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.6666666666666666,0.5000000000000001,0.0,0.517152,0.923878,0.692308,0.713873,0.668831,0.825369,0.6875,0.0995907,0.177419,0.547619,0.252941,0.208383,0.725026,0.543478,0.164113,0.557252,0.505747,0.121212,0.583942,0.745,0.54,0.677419,0.433333,0.45625,0.671233,0.0363333,0.416667,0.971716,0.635036,0.986897,0.786309,0.63913,0.62987,0.772727,0.382353,0.578947,0.574468,0.759637,0.757908,0.500676,0.503125,0.497638,0.904717,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.6666666666666666,0.25000000000000006,0.0,0.709276,0.924865,0.692308,0.713873,0.668831,0.96174,0.6875,0.249204,0.177419,0.547619,0.252941,0.249102,0.843586,0.543478,0.164113,0.557252,0.505747,0.727273,0.583942,0.745,0.54,0.677419,0.433333,0.60625,0.671233,0.381,0.416667,0.971716,0.927007,0.983448,0.80666,0.876087,0.62987,0.772727,0.455882,0.578947,0.574468,0.764172,0.757908,0.981081,0.503125,0.497638,0.859434,0.983108,0.740741,0.681159,0.942494,0.602151,0.52862,0.1875
1.0,0.0,0.0,-0.6666666666666666,0.0,0.0,0.73399,0.913539,0.692308,0.713873,0.701299,0.964412,0.6875,0.976808,0.23871,0.547619,0.647059,0.220359,0.825447,0.695652,0.164113,0.557252,0.793103,0.917749,0.919708,0.745,0.66,0.677419,0.433333,0.590625,0.671233,0.812333,0.666667,0.971716,0.970803,0.973448,0.753932,0.871739,0.662338,0.772727,0.573529,0.95614,0.574468,0.759637,0.757908,0.983108,0.503125,0.497638,0.55,0.962162,0.740741,0.681159,0.942494,0.602151,0.343434,0.1875
1.0,0.0,0.0,-0.6666666666666666,0.3252574989159953,0.0,0.641683,0.928574,0.692308,0.713873,0.668831,0.953496,0.6875,0.0995907,0.177419,0.547619,0.252941,0.249102,0.843849,0.543478,0.164113,0.557252,0.505747,0.378788,0.583942,0.745,0.54,0.677419,0.433333,0.59375,0.671233,0.0476667,0.416667,0.971716,0.875912,0.982644,0.820537,0.833696,0.62987,0.772727,0.382353,0.578947,0.574468,0.764172,0.757908,0.500676,0.503125,0.497638,0.890566,0.950676,0.740741,0.681159,0.942494,0.602151,0.52862,0.1875
1.0,0.0,0.0,-0.6666666666666666,0.0752574989159953,0.0,0.735512,0.91934,0.692308,0.713873,0.727273,0.964911,0.6875,0.898136,0.193548,0.547619,0.488235,0.231138,0.835174,0.543478,0.164113,0.557252,0.528736,0.917749,0.912409,0.745,0.62,0.677419,0.433333,0.590625,0.671233,0.838,0.416667,0.971716,0.956204,0.985977,0.771508,0.878261,0.62987,0.772727,0.647059,0.947368,0.574468,0.764172,0.757908,0.983108,0.503125,0.497638,0.646226,0.976351,0.740741,0.681159,0.942494,0.602151,0.407407,0.1875
1.0,0.0,0.0,-0.6666666666666666,0.4247425010840047,0.0,0.56054,0.928614,0.692308,0.713873,0.668831,0.914481,0.6875,0.0995907,0.177419,0.547619,0.252941,0.227545,0.839117,0.543478,0.164113,0.557252,0.505747,0.123377,0.583942,0.745,0.54,0.677419,0.433333,0.45625,0.671233,0.038,0.416667,0.971716,0.635036,0.985172,0.814986,0.698913,0.62987,0.772727,0.382353,0.578947,0.574468,0.759637,0.757908,0.500676,0.503125,0.497638,0.907547,0.495946,0.740741,0.681159,0.942494,0.602151,0.37037,0.1875
1.0,0.0,0.0,-0.6666666666666666,0.1747425010840047,0.0,0.729169,0.923247,0.692308,0.713873,0.720779,0.964095,0.6875,0.57799,0.177419,0.547619,0.270588,0.239521,0.841483,0.543478,0.164113,0.557252,0.505747,0.859307,0.861314,0.745,0.54,0.677419,0.433333,0.60625,0.671233,0.828667,0.416667,0.971716,0.927007,0.984713,0.794635,0.88587,0.62987,0.772727,0.588235,0.95614,0.574468,0.76644,0.757908,0.982432,0.503125,0.497638,0.728302,0.981757,0.740741,0.681159,0.942494,0.602151,0.515152,0.1875
1.0,0.0,0.0,-0.5,-1.0,0.0,0.597889,0.902648,0.692308,0.713873,0.668831,0.666757,0.6875,0.0995907,0.414516,0.547619,0.252941,0.155689,0.654837,0.543478,0.164113,0.557252,0.505747,0.121212,0.583942,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.0363333,0.416667,0.969861,0.635036,0.781954,0.708603,0.63587,0.62987,0.772727,0.382353,0.578947,0.574468,0.659864,0.757908,0.500676,0.503125,0.497638,0.55,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.5,-0.75,0.0,0.691566,0.902648,0.692308,0.713873,0.668831,0.737102,0.6875,0.572533,0.912366,0.547619,0.252941,0.155689,0.654837,0.543478,0.164113,0.557252,0.505747,0.121212,0.583942,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.0363333,0.416667,0.969861,0.635036,0.781954,0.708603,0.63587,0.62987,0.772727,0.382353,0.578947,0.574468,0.659864,0.83765,0.500676,0.504687,0.634646,0.55,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.5,-0.5,0.0,0.703136,0.902648,0.692308,0.713873,0.668831,0.956365,0.6875,0.876762,0.953763,0.547619,0.335294,0.155689,0.741325,0.855072,0.241269,0.816794,0.505747,0.564935,0.970803,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.317333,0.416667,0.975425,0.788321,0.833908,0.708603,0.63587,0.62987,0.772727,0.382353,0.578947,0.914894,0.659864,0.839083,0.983108,0.896875,0.867717,0.55,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.5,-0.3252574989159953,0.0,0.717345,0.903634,0.692308,0.713873,0.668831,0.960743,0.6875,0.950887,0.883333,0.761905,0.476471,0.177246,0.776814,0.855072,0.342302,0.824427,0.62069,0.848485,0.970803,0.745,0.15,0.677419,0.433333,0.45625,0.671233,0.640333,0.888889,0.976121,0.948905,0.915057,0.708603,0.643478,0.62987,0.772727,0.382353,0.868421,0.914894,0.759637,0.838366,0.982432,0.920312,0.858268,0.55,0.743919,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.5,-0.25,0.0,0.72313,0.913697,0.692308,0.84104,0.668831,0.961982,0.708333,0.975443,0.53871,0.666667,0.570588,0.180838,0.788644,0.855072,0.410727,0.824427,0.793103,0.867965,0.970803,0.745,0.55,0.677419,0.466667,0.496875,0.671233,0.714,0.972222,0.975039,0.970803,0.915057,0.711378,0.773913,0.62987,0.772727,0.382353,0.938596,0.93617,0.759637,0.829563,0.982432,0.932812,0.51811,0.55,0.795946,0.740741,0.681159,0.942494,0.602151,0.299663,0.28125
1.0,0.0,0.0,-0.5,-0.0752574989159953,0.0,0.736628,0.919656,0.692308,0.713873,0.727273,0.964594,0.6875,0.987267,0.29086,0.547619,0.7,0.22515,0.82387,0.826087,0.428546,0.801527,0.793103,0.917749,0.963504,0.745,0.71,0.677419,0.433333,0.59375,0.671233,0.828667,1.0,0.972488,0.970803,0.964828,0.751156,0.871739,0.785714,0.772727,0.602941,0.964912,0.893617,0.759637,0.759546,0.982432,0.640625,0.497638,0.55,0.952703,0.740741,0.681159,0.942494,0.623656,0.353535,0.1875
1.0,0.0,0.0,-0.5,0.75,0.0,0.495585,0.904187,0.692308,0.713873,0.668831,0.669249,0.6875,0.0995907,0.177419,0.547619,0.252941,0.182036,0.654837,0.543478,0.164113,0.557252,0.505747,0.121212,0.583942,0.745,0.54,0.677419,0.433333,0.45625,0.671233,0.0386667,0.416667,0.972488,0.635036,0.993563,0.709528,0.644565,0.62987,0.772727,0.382353,0.578947,0.574468,0.764172,0.758829,0.500676,0.503125,0.497638,0.906604,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.5,0.5000000000000001,0.0,0.534761,0.938321,0.692308,0.713873,0.668831,0.885461,0.6875,0.0995907,0.177419,0.547619,0.252941,0.245509,0.844374,0.543478,0.164113,0.557252,0.505747,0.132035,0.583942,0.745,0.54,0.677419,0.433333,0.45625,0.671233,0.0393333,0.416667,0.972488,0.635036,0.993218,0.838113,0.682609,0.62987,0.772727,0.382353,0.578947,0.574468,0.764172,0.758829,0.500676,0.503125,0.497638,0.908491,0.495946,0.740741,0.681159,0.942494,0.602151,0.3367,0.1875
1.0,0.0,0.0,-0.5,0.25000000000000006,0.0,0.720999,0.95896,0.692308,0.713873,0.75974,0.965303,0.6875,0.401091,0.177419,0.547619,0.252941,0.243114,0.851998,0.543478,0.164113,0.557252,0.505747,0.824675,0.846715,0.745,0.54,0.677419,0.433333,0.609375,0.671233,0.761333,0.416667,0.972488,0.927007,0.986552,0.812211,0.891304,0.62987,0.772727,0.647059,0.745614,0.659574,0.764172,0.758829,0.982432,0.503125,0.497638,0.870755,0.981081,0.740741,0.681159,0.942494,0.602151,0.579125,0.1875
1.0,0.0,0.0,-0.5,0.0,0.0,0.739673,0.927785,0.692308,0.713873,0.74026,0.96562,0.6875,0.983174,0.260753,0.547619,0.717647,0.22994,0.835174,0.797101,0.164291,0.671756,0.850575,0.928571,0.941606,0.745,0.7,0.677419,0.433333,0.6,0.671233,0.864333,1.0,0.972488,0.970803,0.984138,0.764107,0.882609,0.766234,0.772727,0.705882,0.964912,0.765957,0.764172,0.758829,0.982432,0.503125,0.497638,0.556604,0.969595,0.740741,0.681159,0.942494,0.655914,0.430976,0.1875
1.0,0.0,0.0,-0.5,0.3252574989159953,0.0,0.668477,0.956158,0.692308,0.713873,0.668831,0.961951,0.6875,0.103683,0.177419,0.547619,0.252941,0.250299,0.851998,0.543478,0.164113,0.557252,0.505747,0.662338,0.583942,0.745,0.54,0.677419,0.433333,0.60625,0.671233,0.199,0.416667,0.972488,0.890511,0.986207,0.836263,0.86413,0.62987,0.772727,0.411765,0.578947,0.574468,0.764172,0.758829,0.738514,0.503125,0.497638,0.89717,0.964865,0.740741,0.695652,0.942494,0.602151,0.579125,0.1875
1.0,0.0,0.0,-0.5,0.0752574989159953,0.0,0.741551,0.936743,0.692308,0.713873,0.74026,0.966541,0.6875,0.950887,0.215591,0.547619,0.7,0.249102,0.845163,0.652174,0.164113,0.572519,0.862069,0.9329,0.927007,0.745,0.61,0.677419,0.433333,0.5875,0.671233,0.892333,0.611111,0.972488,0.956204,0.99069,0.783534,0.894565,0.714286,0.772727,0.75,0.95614,0.659574,0.76644,0.758829,0.981757,0.503125,0.497638,0.657547,0.97973,0.740741,0.681159,0.942494,0.645161,0.515152,0.1875
1.0,0.0,0.0,-0.5,0.4247425010840047,0.0,0.581092,0.948345,0.692308,0.713873,0.668831,0.942444,0.6875,0.0995907,0.177419,0.547619,0.252941,0.263473,0.849895,0.543478,0.164113,0.557252,0.505747,0.25974,0.583942,0.745,0.54,0.677419,0.433333,0.4875,0.671233,0.0426667,0.416667,0.972488,0.905109,0.988046,0.840888,0.781522,0.62987,0.772727,0.382353,0.578947,0.574468,0.764172,0.758829,0.500676,0.503125,0.497638,0.906604,0.612162,0.740741,0.695652,0.942494,0.602151,0.515152,0.1875
1.0,0.0,0.0,-0.5,0.1747425010840047,0.0,0.738811,0.952015,0.692308,0.713873,0.74026,0.9663,0.6875,0.698499,0.177419,0.547619,0.376471,0.239521,0.851735,0.543478,0.164113,0.557252,0.505747,0.891775,0.861314,0.745,0.54,0.677419,0.433333,0.609375,0.671233,0.888333,0.416667,0.972488,0.927007,0.986322,0.79926,0.909783,0.62987,0.772727,0.75,0.929825,0.659574,0.76644,0.758829,0.983108,0.503125,0.497638,0.767925,0.981081,0.740741,0.681159,0.942494,0.580645,0.558923,0.1875
1.0,0.0,0.0,-0.3333333333333333,-1.0,0.0,0.602964,0.902648,0.692308,0.713873,0.668831,0.666757,0.6875,0.0995907,0.703763,0.547619,0.252941,0.155689,0.654837,0.543478,0.164113,0.557252,0.505747,0.121212,0.583942,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.0363333,0.416667,0.969861,0.635036,0.781954,0.708603,0.63587,0.62987,0.772727,0.382353,0.578947,0.574468,0.659864,0.768861,0.500676,0.503125,0.497638,0.55,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.3333333333333333,-0.75,0.0,0.692632,0.902648,0.692308,0.713873,0.668831,0.894521,0.6875,0.738063,0.926882,0.547619,0.252941,0.155689,0.654837,0.543478,0.205096,0.557252,0.505747,0.231602,0.649635,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.0363333,0.416667,0.970479,0.635036,0.782184,0.708603,0.63587,0.62987,0.772727,0.382353,0.578947,0.574468,0.659864,0.840209,0.500676,0.682812,0.850394,0.55,0.495946,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.3333333333333333,-0.5,0.0,0.709632,0.902648,0.692308,0.713873,0.668831,0.95789,0.6875,0.916326,0.963978,0.690476,0.388235,0.155689,0.764196,0.855072,0.274056,0.824427,0.505747,0.835498,0.970803,0.745,0.06,0.677419,0.433333,0.45625,0.671233,0.475667,0.416667,0.97983,0.941606,0.893793,0.708603,0.63587,0.62987,0.772727,0.382353,0.631579,0.914894,0.659864,0.839902,0.983784,0.901562,0.869291,0.55,0.501351,0.740741,0.681159,0.942494,0.602151,0.299663,0.1875
1.0,0.0,0.0,-0.3333333333333333,-0.3252574989159953,0.0,0.722623,0.916223,0.692308,0.849711,0.668831,0.961498,0.765625,0.974989,0.933871,0.738095,0.552941,0.183234,0.783912,0.855072,0.410549,0.824427,0.793103,0.865801,0.970803,0.77,0.56,0.677419,0.666667,0.5,0.671233,0.714,0.972222,0.980371,0.970803,0.914023,0.711378,0.775,0.62987,0.772727,0.382353,0.947368,0.93617,0.759637,0.842768,0.982432,0.926562,0.880315,0.55,0.77973,0.740741,0.681159,0.942494,0.602151,0.299663,0.40625
